Item,Description,Unit,Qty.,Unit Price,Total Price AED
30,TRAY 45 DEG BEND 600X50X2.0MM,NOS,10,70.00,700.00
31,TRAY 45 DEG BEND 450X50X2.0MM,NOS,10,55.00,550.00
32,TRAY 45 DEG BEND 300X50X1.5MM,NOS,10,32.00,320.00
33,TRAY 45 DEG BEND 225X50X1.5MM,NOS,10,27.00,270.00
34,TRAY 45 DEG BEND 200X50X1.5MM,NOS,10,25.00,250.00
35,TRAY 45 DEG BEND 150X50X1.5MM,NOS,10,21.00,210.00
36,TRAY 45 DEG BEND 100X50X1.5MM,NOS,10,17.00,170.00
37,TRAY EQUAL TEE 900X50X2.0MM,NOS,10,114.00,"1,140.00"
38,TRAY EQUAL TEE 750X50X2.0MM,NOS,10,98.00,980.00
39,TRAY EQUAL TEE 600X50X2.0MM,NOS,10,81.00,810.00
40,TRAY EQUAL TEE 450X50X2.0MM,NOS,10,65.00,650.00
41,TRAY EQUAL TEE 300X50X1.5MM,NOS,10,37.00,370.00
42,TRAY EQUAL TEE 225X50X1.5MM,NOS,10,31.00,310.00
43,TRAY EQUAL TEE 200X50X1.5MM,NOS,10,29.00,290.00
44,TRAY EQUAL TEE 150X50X1.5MM,NOS,10,25.00,250.00
45,TRAY EQUAL TEE 100X50X1.5MM,NOS,10,20.00,200.00
46,"TRAY UNEQUAL TEE (W1=900,W2=750,W3=900)X50X2.0MM W3 0000000 W1 W2",NOS,20,114.00,"2,280.00"

Item,Description,Unit,Qty.,Unit Price,Total Price AED
47,"TRAY UNEQUAL TEE (W1=750,W2=600,W3=750)X50X2.0MM W3 0000000 : W1 W2",NOS,20,98.00,"1,960.00"
48,"TRAY UNEQUAL TEE (W1=600,W2=450,W3=600)X50X2.0MM W3 W1 W2",NOS,20,81.00,"1,620.00"
49,"TRAY UNEQUAL TEE (W1=450,W2=300,W3=450)X50X2.0MM W3 W1 W2",NOS,20,65.00,"1,300.00"
50,"TRAY UNEQUAL TEE (W1=300,W2=225,W3=300)X50X1.5MM W3 0000000 W1 W2",NOS,20,37.00,740.00
51,"TRAY UNEQUAL TEE (W1=225,W2=150,W3=225)X50X1.5MM W3 0000000 W1 W2",W1,0000000,W3 .00 W2,620.00
52,"TRAY UNEQUAL TEE (W1=150,W2=100,W3=150)X50X1.5MM W3 0000000 W1 W2",W1,0000000,W3 .00 W2,500.00
53,TRAY STRAIGHT REDUCER (900-750)X50X2.0MM,NOS,10,72.00,720.00
54,TRAY STRAIGHT REDUCER (750-600)X50X2.0MM,NOS,10,61.00,610.00

Item,Description,Unit,Qty.,Unit Price,Total Price AED
55,TRAY STRAIGHT REDUCER (600-450)X50X2.0MM,NOS,10,51.00,510.00
56,TRAY STRAIGHT REDUCER (450-300)X50X2.0MM,NOS,10,41.00,410.00
57,TRAY STRAIGHT REDUCER (300-225)X50X1.5MM,NOS,10,24.00,240.00
58,TRAY STRAIGHT REDUCER (225-150)X50X1.5MM,NOS,10,20.00,200.00
59,TRAY STRAIGHT REDUCER (150-100)X50X1.5MM,NOS,10,16.00,160.00
60,TRAY 90 DEG INSIDE RISER 900X50X2.0MM,NOS,10,72.00,720.00
61,TRAY 90 DEG INSIDE RISER 750X50X2.0MM,NOS,10,61.00,610.00
62,TRAY 90 DEG INSIDE RISER 600X50X2.0MM,NOS,10,51.00,510.00
63,TRAY 90 DEG INSIDE RISER 450X50X2.0MM,NOS,10,41.00,410.00
64,TRAY 90 DEG INSIDE RISER 300X50X1.5MM,NOS,10,24.00,240.00
65,TRAY 90 DEG INSIDE RISER 225X50X1.5MM,NOS,10,20.00,200.00
66,TRAY 90 DEG INSIDE RISER 200X50X1.5MM,NOS,10,18.00,180.00
67,TRAY 90 DEG INSIDE RISER 150X50X1.5MM,NOS,10,16.00,160.00
68,TRAY 90 DEG INSIDE RISER 100X50X1.5MM,NOS,10,13.00,130.00
69,TRAY 90 DEG OUTSIDE RISER 900X50X2.0MM,NOS,10,72.00,720.00
70,TRAY 90 DEG OUTSIDE RISER 750X50X2.0MM,NOS,10,61.00,610.00
71,TRAY 90 DEG OUTSIDE RISER 600X50X2.0MM,NOS,10,51.00,510.00
72,TRAY 90 DEG OUTSIDE RISER 450X50X2.0MM,NOS,10,41.00,410.00
73,TRAY 90 DEG OUTSIDE RISER 300X50X1.5MM,NOS,10,24.00,240.00
74,TRAY 90 DEG OUTSIDE RISER 225X50X1.5MM,NOS,10,20.00,200.00
75,TRAY 90 DEG OUTSIDE RISER 200X50X1.5MM,NOS,10,18.00,180.00
76,TRAY 90 DEG OUTSIDE RISER 150X50X1.5MM,NOS,10,16.00,160.00
77,TRAY 90 DEG OUTSIDE RISER 100X50X1.5MM,NOS,10,13.00,130.00
78,TRAY 90 DEG OUTSIDE RISER 75X50X1.5MM,NOS,10,12.00,120.00
79,TRAY 90 DEG OUTSIDE RISER 50X50X1.5MM,NOS,10,10.00,100.00
80,TRAY ADDON BRANCH 900X50X2.0MM,NOS,20,114.00,"2,280.00"
81,TRAY ADDON BRANCH 750X50X2.0MM,NOS,20,98.00,"1,960.00"
82,TRAY ADDON BRANCH 600X50X2.0MM,NOS,20,81.00,"1,620.00"
83,TRAY ADDON BRANCH 450X50X2.0MM,NOS,20,65.00,"1,300.00"
