Date,15/6/2023
Quotation No.,RC/CMS/062023/142
Project,PT-295/4 INNOVATION HUB -PHASE 2
Currency,AED
Pages,1 of 1

To,: M/S ASEMCO
Address,: DUABI; UAE
Attention,: Mr. Ankit Bajpayee
Contact,: 971 56 539 1872
Email,:

"Dear Sir,",We thank,you for your inquiry and are pleased to submit our best price for,the,following items.,,
SL.NO,BRAND,DESCRIPTION,UNIT,QTY,PRICE,TOTAL PRICE
17,METAR,"150 MM CABLE TRAY COVER HDG,- 3 METER LENGTH",Lth,19.00,28.51,541.69
18,METAR,"100 MM CABLE TRAY COVER HDG,- 3 METER LENGTH",Lth,204.00,20.59,"4,200.36"
19,METAR,900 MM CABLE TRAY 90DEG BEND,NOS,10.00,81.57,815.70
20,METAR,750 MM CABLE TRAY 90DEG BEND,NOS,10.00,69.69,696.90
21,METAR,600 MM CABLE TRAY 90DEG BEND,NOS,10.00,57.81,578.10
22,METAR,450 MM CABLE TRAY 90DEG BEND,NOS,10.00,45.93,459.30
23,METAR,300 MM CABLE TRAY 90DEG BEND,NOS,10.00,25.54,255.40
24,METAR,225 MM CABLE TRAY 90DEG BEND,NOS,10.00,21.08,210.80
25,METAR,200 MM CABLE TRAY 90DEG BEND,NOS,10.00,19.60,196.00
26,METAR,150 MM CABLE TRAY 90DEG BEND,NOS,10.00,16.63,166.30
27,METAR,100 MM CABLE TRAY 90DEG BEND,NOS,10.00,13.66,136.60
28,METAR,900 MM CABLE TRAY 45DEG BEND,NOS,10.00,81.57,815.70
29,METAR,750 MM CABLE TRAY 45DEG BEND,NOS,10.00,69.69,696.90
30,METAR,600 MM CABLE TRAY 45DEG BEND,NOS,10.00,57.81,578.10
31,METAR,450 MM CABLE TRAY 45DEG BEND,NOS,10.00,45.93,459.30
32,METAR,300 MM CABLE TRAY 45DEG BEND,NOS,10.00,25.54,255.40
33,METAR,225 MM CABLE TRAY 45DEG BEND,NOS,10.00,21.08,210.80

Date,15/6/2023
Quotation No.,: RC/CMS/062023/142
Project,PT-295/4 INNOVATION HUB -PHASE 2
Currency,AED
Pages,1 of 1

To,: M/S ASEMCO
Address,: DUABI; UAE
Attention,: Mr. Ankit Bajpayee
Contact,: 971 56 539 1872
Email,:

"Sir,",,you for your inquiry are pleased to our price for,,following,,
SL.NO,BRAND,DESCRIPTION,UNIT,QTY,PRICE,TOTAL PRICE
34,METAR,200 MM CABLE TRAY 45DEG BEND,NOS,10.00,19.60,196.00
35,METAR,150 MM CABLE TRAY 45DEG BEND,NOS,10.00,16.63,166.30
36,METAR,100 MM CABLE TRAY 45DEG BEND,NOS,10.00,13.66,136.60
37,METAR,900 MM CABLE TRAY EQUAL TEE,NOS,10.00,108.76,"1,087.60"
38,METAR,750 MM CABLE TRAY EQUAL TEE,NOS,10.00,92.92,929.20
